Entry	Entry Name	Protein names	Gene Names	Length	Pfam	InterPro	Domain [FT]
O53897	O53897_MYCTU	MoaB/Mog domain-containing protein	moaB2 Rv0984	181	PF00994;	IPR036425;IPR001453;IPR051920;	DOMAIN 28..172; /note="MoaB/Mog"; /evidence="ECO:0000259|SMART:SM00852"
O53930	O53930_MYCTU	Possible integral membrane protein	Rv1779c	597	PF14362;	IPR025519;	
O53963	O53963_MYCTU	phosphoserine phosphatase (EC 3.1.3.3)	lppF Rv1921c	423	PF12710;	IPR050582;IPR036412;IPR023214;	
O53978	O53978_MYCTU	Conserved protein	Rv1977	348	PF01435;	IPR051156;IPR001915;	DOMAIN 67..263; /note="Peptidase M48"; /evidence="ECO:0000259|Pfam:PF01435"
O65933	O65933_MYCTU	Probable polyketide synthase Pks8	pks8 Rv1662	1602	PF00698;PF08240;PF00107;PF08990;PF16197;PF00109;PF02801;PF21089;PF14765;PF22953;	IPR001227;IPR014043;IPR016035;IPR013149;IPR013154;IPR011032;IPR018201;IPR014031;IPR014030;IPR016036;IPR036291;IPR015083;IPR032821;IPR020841;IPR042104;IPR020807;IPR049551;IPR049552;IPR020843;IPR049900;IPR050091;IPR002364;IPR055123;IPR016039;	DOMAIN 33..454; /note="Ketosynthase family 3 (KS3)"; /evidence="ECO:0000259|PROSITE:PS52004"; DOMAIN 921..1191; /note="PKS/mFAS DH"; /evidence="ECO:0000259|PROSITE:PS52019"
O69667	O69667_MYCTU	2-heptyl-1-hydroxyquinolin-4(1H)-one methyltransferase (EC 2.1.1.374) (Heterocyclic toxin methyltransferase)	Rv3699	233	PF13649;	IPR041698;IPR029063;	DOMAIN 46..144; /note="Methyltransferase"; /evidence="ECO:0000259|Pfam:PF13649"
O69668	EGTE_MYCTU	Probable hercynylcysteine sulfoxide lyase (EC 4.4.-.-)	egtE Rv3700c	390	PF00266;	IPR000192;IPR027563;IPR015424;IPR015421;IPR015422;	
O69670	EGTC_MYCTU	Gamma-glutamyl-hercynylcysteine sulfoxide hydrolase (EC 3.5.1.118) (Gamma-glutamyl hercynylcysteine S-oxide hydrolase)	egtC Rv3702c	233	PF13230;	IPR017808;IPR026869;IPR032889;IPR052373;IPR017932;IPR029055;	DOMAIN 2..233; /note="Glutamine amidotransferase type-2"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00609"
O69687	FAMT_MYCTU	Probable fatty acid methyltransferase Rv3720 (EC 2.1.1.-) (S-adenosylmethionine-dependent methyltransferase Rv3720) (AdoMet-MT) (SAM-MT)	Rv3720 RVBD_3720 P425_03869	427	PF02353;	IPR050723;IPR003333;IPR029063;	
O69695	O69695_MYCTU	Probable conserved two-domain membrane protein	Rv3728	1065	PF00027;PF07690;PF01734;	IPR016035;IPR018488;IPR000595;IPR018490;IPR004638;IPR011701;IPR020846;IPR036259;IPR002641;IPR014710;IPR005829;	DOMAIN 42..486; /note="Major facilitator superfamily (MFS) profile"; /evidence="ECO:0000259|PROSITE:PS50850"; DOMAIN 531..629; /note="Cyclic nucleotide-binding"; /evidence="ECO:0000259|PROSITE:PS50042"; DOMAIN 806..965; /note="PNPLA"; /evidence="ECO:0000259|PROSITE:PS51635"
O69719	O69719_MYCTU	tRNA-specific adenosine deaminase (EC 3.5.4.33)	tadA Rv3752c	152	PF00383;	IPR016192;IPR002125;IPR016193;IPR028883;	DOMAIN 2..114; /note="CMP/dCMP-type deaminase"; /evidence="ECO:0000259|PROSITE:PS51747"
O69722	O69722_MYCTU	Possible osmoprotectant (Glycine betaine/carnitine/choline/L-proline) transport integral membrane protein ABC transporter ProZ	proZ Rv3756c	239	PF00528;	IPR051204;IPR000515;IPR035906;	DOMAIN 31..206; /note="ABC transmembrane type-1"; /evidence="ECO:0000259|PROSITE:PS50928"
O69723	O69723_MYCTU	Possible osmoprotectant (Glycine betaine/carnitine/choline/L-proline) transport integral membrane protein ABC transporter ProW	proW Rv3757c	229	PF00528;	IPR051204;IPR000515;IPR035906;	DOMAIN 15..197; /note="ABC transmembrane type-1"; /evidence="ECO:0000259|PROSITE:PS50928"
O69724	O69724_MYCTU	ABC-type quaternary amine transporter (EC 7.6.2.9)	proV Rv3758c	376	PF00005;	IPR003593;IPR003439;IPR017871;IPR046342;IPR027417;	DOMAIN 2..237; /note="ABC transporter"; /evidence="ECO:0000259|PROSITE:PS50893"
O69725	O69725_MYCTU	Possible osmoprotectant (Glycine betaine/carnitine/choline/L-proline) binding lipoprotein ProX	proX Rv3759c	315	PF04069;	IPR007210;	DOMAIN 41..305; /note="ABC-type glycine betaine transport system substrate-binding"; /evidence="ECO:0000259|Pfam:PF04069"
O69726	Y3760_MYCTU	Uncharacterized membrane protein Rv3760	Rv3760	117	PF06305;	IPR010445;	
O69728	O69728_MYCTU	Linear primary-alkylsulfatase (EC 3.1.6.21) (Type III linear primary-alkylsulfatase)	Rv3762c	626	PF14864;PF14863;PF00753;	IPR038536;IPR029229;IPR029228;IPR052195;IPR044097;IPR001279;IPR036866;IPR036527;	DOMAIN 101..324; /note="Metallo-beta-lactamase"; /evidence="ECO:0000259|SMART:SM00849"
O69732	ESPH_MYCTU	ESX-1 secretion-associated protein EspH	espH Rv3867	183			
O86313	O86313_MYCTU	Possible membrane protein	Rv1230c	411	PF13406;	IPR001827;IPR023346;IPR043426;IPR031304;	DOMAIN 193..247; /note="Transglycosylase SLT"; /evidence="ECO:0000259|Pfam:PF13406"
O86318	ACCD2_MYCTU	Probable biotin-dependent acyl-coenzyme A carboxylase beta2 subunit (EC 2.1.3.-)	accD2 Rv0974c	529	PF01039;	IPR034733;IPR029045;IPR011763;IPR011762;IPR045190;	DOMAIN 20..271; /note="CoA carboxyltransferase N-terminal"; /evidence="ECO:0000255|PROSITE-ProRule:PRU01136"; DOMAIN 270..520; /note="CoA carboxyltransferase C-terminal"; /evidence="ECO:0000255|PROSITE-ProRule:PRU01137"
O86332	Y0793_MYCTU	Putative monooxygenase Rv0793 (EC 1.-.-.-)	Rv0793	101	PF03992;	IPR007138;IPR050744;IPR011008;	DOMAIN 5..93; /note="ABM"
O86335	O86335_MYCTU	Probable membrane bound polyketide synthase Pks6	pks6 Rv0405	1402	PF00698;PF16197;PF00109;PF02801;PF00550;PF00975;	IPR029058;IPR001227;IPR036736;IPR014043;IPR016035;IPR018201;IPR014031;IPR014030;IPR016036;IPR032821;IPR020841;IPR050091;IPR020806;IPR020802;IPR009081;IPR006162;IPR001031;IPR016039;	DOMAIN 5..83; /note="Carrier"; /evidence="ECO:0000259|PROSITE:PS50075"; DOMAIN 106..522; /note="Ketosynthase family 3 (KS3)"; /evidence="ECO:0000259|PROSITE:PS52004"; DOMAIN 1017..1092; /note="Carrier"; /evidence="ECO:0000259|PROSITE:PS50075"
O86361	O86361_MYCTU	Probable acetyl-CoA acyltransferase FadA2 (3-ketoacyl-CoA thiolase) (Beta-ketothiolase)	fadA2 Rv0243	440	PF02803;PF00108;	IPR050521;IPR002155;IPR016039;IPR020610;IPR020617;IPR020616;	DOMAIN 15..283; /note="Thiolase N-terminal"; /evidence="ECO:0000259|Pfam:PF00108"; DOMAIN 291..439; /note="Thiolase C-terminal"; /evidence="ECO:0000259|Pfam:PF02803"
O86365	Y584_MYCTU	Uncharacterized glycosidase Rv0584 (EC 3.2.1.-)	Rv0584	877	PF07971;PF17678;	IPR008928;IPR014718;IPR005887;IPR041371;IPR012939;IPR050883;	
O86374	O86374_MYCTU	Probable phosphomannomutase PmmA (PMM) (Phosphomannose mutase)	pmmA Rv3257c	465	PF02878;PF02879;PF02880;PF00408;	IPR005844;IPR016055;IPR005845;IPR005846;IPR005843;IPR036900;IPR005841;	DOMAIN 11..128; /note="Alpha-D-phosphohexomutase alpha/beta/alpha"; /evidence="ECO:0000259|Pfam:PF02878"; DOMAIN 160..259; /note="Alpha-D-phosphohexomutase alpha/beta/alpha"; /evidence="ECO:0000259|Pfam:PF02879"; DOMAIN 269..373; /note="Alpha-D-phosphohexomutase alpha/beta/alpha"; /evidence="ECO:0000259|Pfam:PF02880"; DOMAIN 378..450; /note="Alpha-D-phosphohexomutase C-terminal"; /evidence="ECO:0000259|Pfam:PF00408"
P0CG95	Y814_MYCTU	Uncharacterized protein Rv0814c	sseC2 Rv0814c	100	PF07210;	IPR008969;IPR010814;	
P0CL60	MAZE8_MYCTU	Antitoxin MazE8	mazE8 Rv2274A	82			
P0CV93	VPC16_MYCTU	Ribonuclease VapC16 (RNase VapC16) (EC 3.1.-.-) (Toxin VapC16)	vapC16 Rv2231A	141		IPR052919;IPR022907;	
P0CW33	VPB25_MYCTU	Antitoxin VapB25	vapB25 Rv0277A	85	PF01402;	IPR002145;IPR010985;	
P0DOA6	ESXI_MYCTU	ESAT-6-like protein EsxI (Antigen Mtb9.9B)	esxI Rv1037c MTCY10G2.12	94	PF06013;	IPR009416;IPR036689;IPR010310;	
P0DV54	RL28C_MYCTU	Large ribosomal subunit protein bL28C (50S ribosomal protein L28 3)	rpmB3 Rv2975A	64	PF00830;	IPR050096;IPR026569;IPR034704;IPR001383;IPR037147;	
P0DXE9	PHOAT_MYCTU	Probable antitoxin PhoAT	phoAT Rv1094.5	51			
P60230	TRA1_MYCTU	Transposase for insertion sequence element IS1081	Rv1199c MTCI364.11c; Rv2512c MTCY07A7.18c	415	PF00872;	IPR001207;	
P71538	P71538_MYCTU	Biotin-dependent 3-methylcrotonyl-coenzyme A carboxylase alpha1 subunit (EC 6.3.4.14)	accA2 bccA Rv0973c	667	PF02785;PF00289;PF00364;PF21139;PF02786;	IPR011761;IPR005481;IPR001882;IPR050856;IPR011764;IPR005482;IPR000089;IPR005479;IPR048429;IPR016185;IPR011054;IPR011053;	DOMAIN 2..449; /note="Biotin carboxylation"; /evidence="ECO:0000259|PROSITE:PS50979"; DOMAIN 118..312; /note="ATP-grasp"; /evidence="ECO:0000259|PROSITE:PS50975"; DOMAIN 582..655; /note="Lipoyl-binding"; /evidence="ECO:0000259|PROSITE:PS50968"
P71622	VPB22_MYCTU	Antitoxin VapB22	vapB22 Rv2830c	71	PF02604;	IPR006442;IPR051416;IPR036165;	
P71728	P71728_MYCTU	Helix-hairpin-helix DNA-binding motif class 1 domain-containing protein	Rv2415c	297	PF12836;PF10531;	IPR004509;IPR051675;IPR003583;IPR010994;IPR019554;	DOMAIN 245..264; /note="Helix-hairpin-helix DNA-binding motif class 1"; /evidence="ECO:0000259|SMART:SM00278"; DOMAIN 275..294; /note="Helix-hairpin-helix DNA-binding motif class 1"; /evidence="ECO:0000259|SMART:SM00278"
P71744	P71744_MYCTU	Probable sulfate-binding lipoprotein SubI	subI Rv2400c	356	PF13531;	IPR005669;	
P71745	P71745_MYCTU	Sulfate transport system permease protein CysT	cysT Rv2399c	283	PF00528;	IPR011865;IPR000515;IPR035906;IPR005667;	DOMAIN 72..268; /note="ABC transmembrane type-1"; /evidence="ECO:0000259|PROSITE:PS50928"
P71750	P71750_MYCTU	Probable gamma-glutamyltranspeptidase GgtB (Gamma-glutamyltransferase) (Glutamyl transpeptidase)	ggtB Rv2394	643	PF01019;	IPR051792;IPR043138;IPR043137;IPR029055;	
P71754	P71754_MYCTU	Mce associated membrane protein	Rv2390c	185			
P71799	P71799_MYCTU	Probable conserved membrane protein	Rv1371	489	PF00173;PF00487;	IPR001199;IPR036400;IPR005804;IPR012171;	DOMAIN 31..89; /note="Cytochrome b5 heme-binding"; /evidence="ECO:0000259|PROSITE:PS50255"
P71815	P71815_MYCTU	histidine kinase (EC 2.7.13.3)	phoR Rv0758	485	PF00672;PF02518;PF00512;	IPR003660;IPR036890;IPR005467;IPR003661;IPR036097;IPR004358;IPR050428;	DOMAIN 181..234; /note="HAMP"; /evidence="ECO:0000259|PROSITE:PS50885"; DOMAIN 256..470; /note="Histidine kinase"; /evidence="ECO:0000259|PROSITE:PS50109"
P71830	P71830_MYCTU	HTH tetR-type domain-containing protein	Rv0775	207	PF17940;PF00440;	IPR009057;IPR050109;IPR001647;IPR041583;	DOMAIN 12..72; /note="HTH tetR-type"; /evidence="ECO:0000259|PROSITE:PS50977"
P71838	Y0785_MYCTU	KsdD-like steroid dehydrogenase Rv0785 (EC 1.3.99.-)	Rv0785	566	PF00890;	IPR003953;IPR036188;IPR014614;IPR027477;	
P71883	P71883_MYCTU	Probable nitrite extrusion protein 1 NarK1 (Nitrite facilitator 1)	narK1 Rv2329c	515	PF07690;	IPR011701;IPR036259;IPR044772;	
P71906	P71906_MYCTU	Probable C4-dicarboxylate-transport transmembrane protein DctA	dctA Rv2443	491	PF00375;	IPR001991;IPR036458;	
P71915	P71915_MYCTU	Probable conserved transmembrane protein	Rv2434c	481	PF00027;PF21088;PF00924;PF21082;	IPR000595;IPR018490;IPR016846;IPR010920;IPR049142;IPR049278;IPR023408;IPR006685;IPR014710;	DOMAIN 338..437; /note="Cyclic nucleotide-binding"; /evidence="ECO:0000259|PROSITE:PS50042"
P71968	P71968_MYCTU	Bacterial bifunctional deaminase-reductase C-terminal domain-containing protein	ribD ribG Rv2671	258	PF01872;	IPR024072;IPR002734;IPR050765;	DOMAIN 40..251; /note="Bacterial bifunctional deaminase-reductase C-terminal"; /evidence="ECO:0000259|Pfam:PF01872"
P71969	P71969_MYCTU	Possible secreted protease	Rv2672	528	PF00561;PF08386;	IPR000073;IPR029058;IPR013595;IPR051601;	DOMAIN 160..313; /note="AB hydrolase-1"; /evidence="ECO:0000259|Pfam:PF00561"; DOMAIN 424..526; /note="Peptidase S33 tripeptidyl aminopeptidase-like C-terminal"; /evidence="ECO:0000259|Pfam:PF08386"
P71977	Y1719_MYCTU	HTH-type transcriptional regulator Rv1719	Rv1719	259	PF09339;PF01614;	IPR001387;IPR029016;IPR012318;IPR050707;IPR014757;IPR005471;IPR036388;IPR036390;	DOMAIN 13..75; /note="HTH iclR-type"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00393"; DOMAIN 88..259; /note="IclR-ED"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00394"
P72045	P72045_MYCTU	Probable conserved transmembrane protein alanine and leucine rich	Rv3779	666	PF20176;	IPR046671;	
P94978	P94978_MYCTU	Possible 23S rRNA methyltransferase TsnR	tsnR Rv1644	260	PF22435;PF00588;	IPR029028;IPR053888;IPR029064;IPR051259;IPR001537;IPR013123;IPR029026;	DOMAIN 28..98; /note="RNA 2-O ribose methyltransferase substrate binding"; /evidence="ECO:0000259|SMART:SM00967"
P94982	P94982_MYCTU	Adenylate cyclase (ATP pyrophosphate-lyase) (Adenylyl cyclase)	Rv1647	316	PF00211;	IPR001054;IPR050697;IPR029787;	DOMAIN 130..242; /note="Guanylate cyclase"; /evidence="ECO:0000259|PROSITE:PS50125"
P95006	VPB19_MYCTU	Putative antitoxin VapB19	vapB19 Rv2547	85	PF01402;	IPR013321;IPR002145;IPR010985;	
P95007	VPC18_MYCTU	Ribonuclease VapC18 (RNase VapC18) (EC 3.1.-.-) (Toxin VapC18)	vapC18 Rv2546	137	PF01850;	IPR029060;IPR002716;IPR050556;IPR022907;	DOMAIN 4..126; /note="PINc"; /evidence="ECO:0000255|HAMAP-Rule:MF_00265"
P95017	P95017_MYCTU	Probable conserved transmembrane protein	Rv2536	230		IPR047958;	
P95024	P95024_MYCTU	ERCC4 domain-containing protein	Rv2529	463	PF02732;PF23359;	IPR036625;IPR006166;IPR055370;IPR011335;	DOMAIN 274..354; /note="ERCC4"; /evidence="ECO:0000259|SMART:SM00891"
P95029	P95029_MYCTU	Probable fatty acid synthase Fas (Fatty acid synthetase)	fas Rv2524c	3069	PF00698;PF18094;PF08354;PF22690;PF00109;PF02801;PF01575;	IPR001227;IPR014043;IPR016035;IPR013785;IPR055118;IPR013565;IPR047224;IPR003965;IPR050830;IPR029069;IPR014031;IPR014030;IPR002539;IPR036291;IPR020841;IPR016039;	DOMAIN 2535..2990; /note="Ketosynthase family 3 (KS3)"; /evidence="ECO:0000259|PROSITE:PS52004"
P95034	P95034_MYCTU	Ferredoxin reductase	Rv0688	406	PF07992;PF14759;	IPR050446;IPR036188;IPR023753;IPR016156;IPR028202;	DOMAIN 18..310; /note="FAD/NAD(P)-binding"; /evidence="ECO:0000259|Pfam:PF07992"; DOMAIN 330..398; /note="Reductase C-terminal"; /evidence="ECO:0000259|Pfam:PF14759"
P95072	P95072_MYCTU	Possible protease IV SppA (Endopeptidase IV) (Signal peptide peptidase)	sppA Rv0724	623	PF01343;	IPR029045;IPR004634;IPR004635;IPR002142;IPR047217;IPR047272;	DOMAIN 130..282; /note="Peptidase S49"; /evidence="ECO:0000259|Pfam:PF01343"; DOMAIN 403..554; /note="Peptidase S49"; /evidence="ECO:0000259|Pfam:PF01343"
P95073	P95073_MYCTU	S-adenosyl-L-methionine-dependent methyltransferase (EC 2.1.1.-)	Rv0725c	301	PF04072;	IPR007213;IPR029063;IPR011610;	
P95087	P95087_MYCTU	DUF190 domain-containing protein	Rv3071	369	PF02641;	IPR011322;IPR015867;IPR003793;	
P95100	P95100_MYCTU	Possible transcriptional regulatory protein (Probably TetR-family)	Rv3058c	216	PF21313;PF00440;	IPR049397;IPR009057;IPR050109;IPR001647;IPR036271;	DOMAIN 20..80; /note="HTH tetR-type"; /evidence="ECO:0000259|PROSITE:PS50977"
P95149	Y1866_MYCTU	Probable CoA-transferase Rv1866 (EC 2.8.3.-)	Rv1866 RVBD_1866 P425_01930	792	PF02515;	IPR050509;IPR003673;IPR044855;IPR023606;	
P95164	P95164_MYCTU	Possible sensor-transducer protein BlaR	blaR Rv1845c	316	PF01435;	IPR052173;IPR001915;	DOMAIN 151..201; /note="Peptidase M48"; /evidence="ECO:0000259|Pfam:PF01435"
P95172	P95172_MYCTU	NADH-quinone oxidoreductase subunit J (EC 7.1.1.-)	nuoJ Rv3154	262	PF00499;	IPR001457;IPR042106;	
P95186	P95186_MYCTU	Probable acyl-CoA dehydrogenase FadE23	fadE23 Rv3140	401	PF00441;PF02770;	IPR050741;IPR006091;IPR046373;IPR036250;IPR009075;IPR009100;	DOMAIN 130..224; /note="Acyl-CoA oxidase/dehydrogenase middle"; /evidence="ECO:0000259|Pfam:PF02770"; DOMAIN 241..393; /note="Acyl-CoA dehydrogenase/oxidase C-terminal"; /evidence="ECO:0000259|Pfam:PF00441"
P95187	P95187_MYCTU	Probable acyl-CoA dehydrogenase FadE24	fadE24 Rv3139	468	PF00441;PF02770;PF02771;	IPR006089;IPR006091;IPR046373;IPR036250;IPR009075;IPR013786;IPR037069;IPR009100;	DOMAIN 111..220; /note="Acyl-CoA dehydrogenase/oxidase N-terminal"; /evidence="ECO:0000259|Pfam:PF02771"; DOMAIN 228..314; /note="Acyl-CoA oxidase/dehydrogenase middle"; /evidence="ECO:0000259|Pfam:PF02770"; DOMAIN 337..464; /note="Acyl-CoA dehydrogenase/oxidase C-terminal"; /evidence="ECO:0000259|Pfam:PF00441"
P95197	P95197_MYCTU	Phosphoribosylglycinamide formyltransferase 2	purT Rv0389	419	PF02222;	IPR011761;IPR003135;IPR013815;IPR016185;IPR005862;	DOMAIN 135..333; /note="ATP-grasp"; /evidence="ECO:0000259|PROSITE:PS50975"
P95208	P95208_MYCTU	Acyl-CoA dehydrogenase FadE7	fadE7 Rv0400c	395	PF00441;PF02770;PF02771;	IPR006091;IPR046373;IPR036250;IPR009075;IPR013786;IPR037069;IPR009100;IPR052033;	DOMAIN 23..135; /note="Acyl-CoA dehydrogenase/oxidase N-terminal"; /evidence="ECO:0000259|Pfam:PF02771"; DOMAIN 139..229; /note="Acyl-CoA oxidase/dehydrogenase middle"; /evidence="ECO:0000259|Pfam:PF02770"; DOMAIN 241..386; /note="Acyl-CoA dehydrogenase/oxidase C-terminal"; /evidence="ECO:0000259|Pfam:PF00441"
P95224	P95224_MYCTU	Nitrate/nitrite transporter	narU Rv0267	463	PF07690;	IPR011701;IPR036259;IPR044772;IPR004737;	
P95225	Y268_MYCTU	Putative antitoxin Rv0268c	Rv0268c	169	PF02604;	IPR006442;IPR051405;IPR036165;	
P95227	P95227_MYCTU	Long-chain-fatty-acid--CoA ligase FadD13 (EC 6.2.1.3) (Fatty acyl-CoA ligase) (Fatty acyl-CoA synthetase) (Very-long-chain fatty-acyl-CoA synthetase)	fadD2 Rv0270	560	PF00501;PF13193;	IPR025110;IPR045851;IPR020845;IPR000873;IPR042099;IPR050237;	DOMAIN 69..428; /note="AMP-dependent synthetase/ligase"; /evidence="ECO:0000259|Pfam:PF00501"; DOMAIN 476..551; /note="AMP-binding enzyme C-terminal"; /evidence="ECO:0000259|Pfam:PF13193"
P95279	ECH13_MYCTU	Putative enoyl-CoA hydratase EchA13	echA13 Rv1935c	318	PF00378;	IPR029045;IPR001753;	
P95280	ACD17_MYCTU	Putative acyl-CoA dehydrogenase FadE17 (EC 1.3.99.-)	fadE17 Rv1934c	409	PF00441;PF02770;PF02771;	IPR006091;IPR046373;IPR036250;IPR009075;IPR013786;IPR037069;IPR009100;IPR052161;	
P96261	P96261_MYCTU	glycine oxidase (EC 1.4.3.19)	thiO Rv0415	340	PF01266;	IPR006076;IPR036188;IPR012727;	DOMAIN 10..329; /note="FAD dependent oxidoreductase"; /evidence="ECO:0000259|Pfam:PF01266"
P96271	P96271_MYCTU	Probable cation-transporting ATPase I	ctpH Rv0425c	1539	PF00689;PF00122;PF00702;	IPR006068;IPR023299;IPR023298;IPR008250;IPR036412;IPR023214;IPR001757;IPR044492;	DOMAIN 1313..1463; /note="Cation-transporting P-type ATPase C-terminal"; /evidence="ECO:0000259|Pfam:PF00689"
P96273	P96273_MYCTU	Probable exodeoxyribonuclease III protein XthA (Exonuclease III) (EXO III) (AP endonuclease VI)	xthA xth Rv0427c	291	PF03372;	IPR004808;IPR036691;IPR005135;IPR037493;	DOMAIN 27..281; /note="Endonuclease/exonuclease/phosphatase"; /evidence="ECO:0000259|Pfam:PF03372"
P96274	HAT2_MYCTU	Probable histone acetyltransferase Rv0428c (EC 2.3.1.48)	Rv0428c	302	PF24553;PF24551;	IPR056935;IPR056934;	
P96284	PKS15_MYCTU	Putative inactive phenolphthiocerol synthesis polyketide synthase type I Pks15	pks15 Rv2947c	496	PF16197;PF00109;PF02801;	IPR018201;IPR014031;IPR014030;IPR032821;IPR020841;IPR050091;IPR036299;IPR016039;	DOMAIN 46..469; /note="Ketosynthase family 3 (KS3)"; /evidence="ECO:0000255|PROSITE-ProRule:PRU01348"
P96404	P96404_MYCTU	Enoyl-CoA hydratase EchA19	echA1 Rv0222	262	PF00378;	IPR029045;IPR018376;IPR001753;IPR014748;	
P96808	P96808_MYCTU	Probable acyl-CoA dehydrogenase FadE1	fadE1 Rv0131c	447	PF00441;PF02770;PF02771;	IPR050741;IPR006091;IPR046373;IPR036250;IPR009075;IPR013786;IPR037069;IPR009100;	DOMAIN 27..141; /note="Acyl-CoA dehydrogenase/oxidase N-terminal"; /evidence="ECO:0000259|Pfam:PF02771"; DOMAIN 145..232; /note="Acyl-CoA oxidase/dehydrogenase middle"; /evidence="ECO:0000259|Pfam:PF02770"; DOMAIN 261..409; /note="Acyl-CoA dehydrogenase/oxidase C-terminal"; /evidence="ECO:0000259|Pfam:PF00441"
P96819	P96819_MYCTU	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	Rv0142	308		IPR051912;IPR011257;IPR003265;	
P96824	P96824_MYCTU	Aldehyde dehydrogenase	Rv0147	506	PF00171;	IPR016161;IPR016163;IPR016160;IPR029510;IPR016162;IPR015590;IPR012394;	DOMAIN 38..477; /note="Aldehyde dehydrogenase"; /evidence="ECO:0000259|Pfam:PF00171"
P96831	ACD2_MYCTU	Probable acyl-CoA dehydrogenase FadE2 (EC 1.3.99.-)	fadE2 Rv0154c	407	PF00441;PF02770;	IPR050741;IPR006091;IPR046373;IPR036250;IPR009075;IPR037069;IPR009100;	
P96832	P96832_MYCTU	NAD(P) transhydrogenase subunit alpha part 1 (EC 7.1.1.1) (Nicotinamide nucleotide transhydrogenase subunit alpha 1) (Pyridine nucleotide transhydrogenase subunit alpha 1)	pntAa Rv0155	366	PF01262;PF05222;	IPR007886;IPR007698;IPR036291;	DOMAIN 12..142; /note="Alanine dehydrogenase/pyridine nucleotide transhydrogenase N-terminal"; /evidence="ECO:0000259|SMART:SM01003"; DOMAIN 151..313; /note="Alanine dehydrogenase/pyridine nucleotide transhydrogenase NAD(H)-binding"; /evidence="ECO:0000259|SMART:SM01002"
P96833	P96833_MYCTU	proton-translocating NAD(P)(+) transhydrogenase (EC 7.1.1.1)	pntAb Rv0156	110	PF12769;	IPR024605;	DOMAIN 9..93; /note="NAD(P) transhydrogenase alpha subunit C-terminal"; /evidence="ECO:0000259|Pfam:PF12769"
P96834	P96834_MYCTU	NAD(P) transhydrogenase subunit beta (EC 7.1.1.1) (Nicotinamide nucleotide transhydrogenase subunit beta)	pntB Rv0157	475	PF02233;	IPR029035;IPR012136;IPR034300;	DOMAIN 8..470; /note="NADP transhydrogenase beta-like"; /evidence="ECO:0000259|Pfam:PF02233"
P96857	R3575_MYCTU	HTH-type transcriptional regulator Rv3575c	Rv3575c	359	PF13377;	IPR000843;IPR046335;IPR010982;IPR028082;	DOMAIN 9..64; /note="HTH lacI-type"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00111"
P96868	P96868_MYCTU	site-specific DNA-methyltransferase (adenine-specific) (EC 2.1.1.72)	Rv3263	553	PF07669;PF22837;	IPR002052;IPR054520;IPR011639;IPR050953;IPR029063;	DOMAIN 100..216; /note="Type II methyltransferase M.TaqI-like"; /evidence="ECO:0000259|Pfam:PF07669"; DOMAIN 270..513; /note="Type II methyltransferase M.Eco57I C-terminal"; /evidence="ECO:0000259|Pfam:PF22837"
P96873	Y3268_MYCTU	TIGR03089 family protein	Rv3268	243		IPR042099;IPR017523;	
P96937	P96937_MYCTU	Alpha-mannosidase	Rv0648	1215	PF09261;PF01074;PF10633;	IPR018905;IPR011013;IPR011330;IPR015341;IPR037094;IPR000602;IPR027291;IPR028995;	DOMAIN 215..286; /note="Glycoside hydrolase family 38 central"; /evidence="ECO:0000259|SMART:SM00872"
P9WF13	VPB46_MYCTU	Antitoxin VapB46	vapB46 Rv3385c	102	PF02604;	IPR006442;IPR051416;IPR036165;	
P9WF15	VPB49_MYCTU	Putative antitoxin VapB49	vapB49 Rv3181c	150	PF02604;	IPR006442;IPR051416;IPR036165;	
P9WF17	VPB35_MYCTU	Antitoxin VapB35	vapB35 Rv1962A	90		IPR051416;IPR036165;	
P9WF23	VPB47_MYCTU	Antitoxin VapB47	vapB47 Rv3407 MTCY78.21c	99	PF02604;	IPR006442;IPR051416;IPR036165;	
P9WF29	EX7S_MYCTU	Exodeoxyribonuclease 7 small subunit (EC 3.1.11.6) (Exodeoxyribonuclease VII small subunit) (Exonuclease VII small subunit)	xseB Rv1107c MTV017.60c	85	PF02609;	IPR003761;IPR037004;	
P9WF47	VPC48_MYCTU	Ribonuclease VapC48 (RNase VapC48) (EC 3.1.-.-) (Toxin VapC48)	vapC48 Rv3697c	145	PF01850;	IPR006226;IPR029060;IPR002716;IPR022907;	DOMAIN 15..141; /note="PINc"; /evidence="ECO:0000255|HAMAP-Rule:MF_00265"
P9WF51	VPC49_MYCTU	Ribonuclease VapC49 (RNase VapC49) (EC 3.1.-.-) (Toxin VapC49)	vapC49 Rv3180c	144	PF01850;	IPR029060;IPR002716;IPR022907;	
P9WF53	VPC44_MYCTU	Ribonuclease VapC44 (RNase VapC44) (EC 3.1.-.-) (Toxin VapC44)	vapC44 Rv3320c	142	PF01850;	IPR006226;IPR029060;IPR002716;IPR022907;	DOMAIN 4..126; /note="PINc"; /evidence="ECO:0000255|HAMAP-Rule:MF_00265"
